No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
0,Avery Bradley\bradlav01,SG,6/2,180,November 26 1990,us,6,University of Texas at Austin
7,Jaylen Brown\brownja02,SF,6/7,225,October 24 1996,us,R,University of California
99,Jae Crowder\crowdja01,SF,6/6,235,July 6 1990,us,4,Marquette University
30,Gerald Green\greenge01,SF,6/7,205,January 26 1986,us,9,
42,Al Horford\horfoal01,C,6/10,245,June 3 1986,do,9,University of Florida
9,Demetrius Jackson\jacksde01,PG,6/1,201,September 7 1994,us,R,University of Notre Dame
8,Jonas Jerebko\jerebjo01,PF,6/10,231,March 2 1987,se,6,
90,Amir Johnson\johnsam01,PF,6/9,240,May 1 1987,us,11,
55,Jordan Mickey\mickejo01,PF,6/8,235,July 9 1994,us,1,Louisiana State University
41,Kelly Olynyk\olynyke01,C,7/1,238,April 19 1991,ca,3,Gonzaga University
12,Terry Rozier\roziete01,PG,6/2,190,March 17 1994,us,1,University of Louisville
36,Marcus Smart\smartma01,SG,6/4,220,March 6 1994,us,2,Oklahoma State University
4,Isaiah Thomas\thomais02,PG,5/9,185,February 7 1989,us,5,University of Washington
13,James Young\youngja01,SG,6/6,215,August 16 1995,us,2,University of Kentucky
44,Tyler Zeller\zellety01,C,7/1,253,January 17 1990,us,4,University of North Carolina
0,Chris Andersen\anderch01,C,6/10,245,July 7 1978,us,14,Blinn College
6,Andrew Bogut\bogutan01,C,7/1,260,November 28 1984,au,11,University of Utah
3,Mike Dunleavy\dunlemi02,SF,6/9,230,September 15 1980,us,14,Duke University
20,Kay Felder\feldeka01,PG,5/9,176,March 29 1995,us,R,Oakland University
8,Channing Frye\fryech01,C,6/11,255,May 17 1983,us,10,University of Arizona
2,Kyrie Irving\irvinky01,PG,6/3,193,March 23 1992,au,5,Duke University
23,LeBron James\jamesle01,SF,6/8,250,December 30 1984,us,13,
24,Richard Jefferson\jefferi01,SF,6/7,233,June 21 1980,us,15,University of Arizona
30,Dahntay Jones\jonesda02,SF,6/6,225,December 27 1980,us,12,Rutgers University Duke University
1,James Jones\jonesja02,SF,6/8,218,October 4 1980,us,13,University of Miami
26,Kyle Korver\korveky01,SG,6/7,212,March 17 1981,us,13,Creighton University
14,DeAndre Liggins\liggide01,SG,6/6,209,March 31 1988,us,3,University of Kentucky
0,Kevin Love\loveke01,PF,6/10,251,September 7 1988,us,8,University of California Los Angeles
12,Jordan McRae\mcraejo01,SG,6/6,185,March 28 1991,us,1,University of Tennessee
9,Larry Sanders\sandela01,C,6/11,235,November 21 1988,us,5,Virginia Commonwealth University
4,Iman Shumpert\shumpim01,SG,6/5,220,June 26 1990,us,5,Georgia Institute of Technology
5,J.R. Smith\smithjr01,SG,6/6,225,September 9 1985,us,12,
40,Edy Tavares\tavarwa01,C,7/3,260,March 22 1992,cv,1,
13,Tristan Thompson\thomptr01,C,6/9,238,March 13 1991,ca,5,University of Texas at Austin
31,Deron Williams\willide01,PG,6/3,200,June 26 1984,us,11,University of Illinois at Urbana-Champaign
Mar-32,Derrick Williams\willide02,PF,6/8,240,May 25 1991,us,5,University of Arizona
20,Bruno Caboclo\cabocbr01,SF,6/9,218,September 21 1995,br,2,
5,DeMarre Carroll\carrode01,SF,6/8,215,July 27 1986,us,7,Vanderbilt University University of Missouri
10,DeMar DeRozan\derozde01,SG,6/7,221,August 7 1989,us,7,University of Southern California
9,Serge Ibaka\ibakase01,PF,6/10,235,September 18 1989,cg,7,
6,Cory Joseph\josepco01,PG,6/3,193,August 20 1991,ca,5,University of Texas at Austin
7,Kyle Lowry\lowryky01,PG,6/1,205,March 25 1986,us,10,Villanova University
92,Lucas Nogueira\noguelu01,C,7/1,241,July 26 1992,br,2,
54,Patrick Patterson\pattepa01,PF,6/9,230,March 14 1989,us,6,University of Kentucky
42,Jakob Poeltl\poeltja01,C,7/1,248,October 15 1995,at,R,University of Utah
24,Norman Powell\powelno01,SG,6/4,215,May 25 1993,us,1,University of California Los Angeles
31,Terrence Ross\rosste01,SF,6/7,206,February 5 1991,us,4,University of Washington
43,Pascal Siakam\siakapa01,PF,6/9,230,February 4 1994,cm,R,New Mexico State University
0,Jared Sullinger\sullija01,PF,6/9,260,March 4 1992,us,4,Ohio State University
2,P.J. Tucker\tuckepj01,SF,6/6,245,May 5 1985,us,5,University of Texas at Austin
17,Jonas Valanciunas\valanjo01,C,7/1,265,May 6 1992,lt,4,
23,Fred VanVleet\vanvlfr01,PG,6/1,195,February 25 1994,us,R,Wichita State University
55,Delon Wright\wrighde01,PG,6/5,183,April 26 1992,us,1,University of Utah
3,Bradley Beal\bealbr01,SG,6/5,207,June 28 1993,us,4,University of Florida
44,Bojan Bogdanovic\bogdabo02,SF,6/8,216,April 18 1989,ba,2,
33,Trey Burke\burketr01,PG,6/1,191,November 12 1992,us,3,University of Michigan
13,Marcin Gortat\gortama01,C,6/11,240,February 17 1984,pl,9,
4,Danuel House\houseda01,SG,6/7,207,June 7 1993,us,R,Texas A&M University
7,Brandon Jennings\jennibr01,PG,6/1,170,September 23 1989,us,7,
9,Sheldon Mac\mcclesh01,SG,6/5,200,December 21 1992,us,R,University of Miami
28,Ian Mahinmi\mahinia01,C,6/11,250,November 5 1986,fr,8,
