No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
1,Chris McCullough\mcculch01,PF,6/11,200,February 5 1995,us,1,Syracuse University
5,Markieff Morris\morrima02,PF,6/10,245,September 2 1989,us,5,University of Kansas
44,Andrew Nicholson\nichoan01,PF,6/9,250,December 8 1989,ca,4,St. Bonaventure University
32,Daniel Ochefu\ochefda01,C,6/11,245,December 15 1993,us,R,Villanova University
12,Kelly Oubre\oubreke01,SF,6/7,205,December 9 1995,us,1,University of Kansas
22,Otto Porter\porteot01,SF,6/8,198,June 3 1993,us,3,Georgetown University
31,Tomas Satoransky\satorto01,SG,6/7,210,October 30 1991,cz,R,
14,Jason Smith\smithja02,C,7/1,245,March 2 1986,us,8,Colorado State University
15,Marcus Thornton\thornma01,SG,6/4,205,June 5 1987,us,7,Louisiana State University
2,John Wall\walljo01,PG,6/4,195,September 6 1990,us,6,University of Kentucky
24,Kent Bazemore\bazemke01,SF,6/5,201,July 1 1989,us,4,Old Dominion University
95,DeAndre' Bembry\bembrde01,SF,6/6,210,July 4 1994,us,R,Saint Joseph's University
13,Jose Calderon\caldejo01,PG,6/3,200,September 28 1981,es,11,
5,Malcolm Delaney\delanma01,PG,6/3,190,March 11 1989,us,R,Virginia Polytechnic Institute and State University
34,Mike Dunleavy\dunlemi02,SF,6/9,230,September 15 1980,us,14,Duke University
10,Tim Hardaway\hardati02,SG,6/6,205,March 16 1992,us,3,University of Michigan
8,Dwight Howard\howardw01,C,6/11,265,December 8 1985,us,12,
43,Kris Humphries\humphkr01,PF,6/9,235,February 6 1985,us,12,University of Minnesota
7,Ersan Ilyasova\ilyaser01,PF,6/10,235,May 15 1987,tr,8,
30,Ryan Kelly\kellyry01,PF,6/11,230,April 9 1991,us,3,Duke University
26,Kyle Korver\korveky01,SG,6/7,212,March 17 1981,us,13,Creighton University
4,Paul Millsap\millspa01,PF,6/8,246,February 10 1985,us,10,Louisiana Tech University
31,Mike Muscala\muscami01,C,6/11,240,July 1 1991,us,3,Bucknell University
14,Gary Neal\nealga01,SG,6/4,210,October 3 1984,us,6,La Salle University Towson University
13,Lamar Patterson\pattela01,SG,6/5,225,August 12 1991,us,1,University of Pittsburgh
17,Dennis Schroder\schrode01,PG,6/1,172,September 15 1993,de,3,
32,Mike Scott\scottmi01,PF,6/8,237,July 16 1988,us,4,University of Virginia
25,Thabo Sefolosha\sefolth01,SF,6/7,220,May 2 1984,ch,10,
22,Edy Tavares\tavarwa01,C,7/3,260,March 22 1992,cv,1,
12,Taurean Waller-Prince\princta02,SF,6/8,220,March 22 1994,us,R,Baylor University
34,Giannis Antetokounmpo\antetgi01,SF,6/11,222,December 6 1994,gr,3,
9,Michael Beasley\beaslmi01,PF,6/9,235,January 9 1989,us,8,Kansas State University
13,Malcolm Brogdon\brogdma01,SG,6/5,215,December 11 1992,us,R,University of Virginia
8,Matthew Dellavedova\dellama01,PG,6/4,198,September 8 1990,au,3,Saint Mary's College of California
0,Spencer Hawes\hawessp01,PF,7/1,245,April 28 1988,us,9,University of Washington
31,John Henson\hensojo01,C,6/11,229,December 28 1990,us,4,University of North Carolina
6,Terrence Jones\joneste01,PF,6/9,252,January 9 1992,us,4,University of Kentucky
7,Thon Maker\makerth01,C,7/1,216,February 25 1997,ss,R,
22,Khris Middleton\middlkh01,SF,6/8,234,August 12 1991,us,4,Texas A&M University
15,Greg Monroe\monrogr01,C,6/11,265,June 4 1990,us,6,Georgetown University
6,Steve Novak\novakst01,PF,6/10,225,June 13 1983,us,10,Marquette University
12,Jabari Parker\parkeja01,PF,6/8,250,March 15 1995,us,2,Duke University
0,Gary Payton\paytoga02,PG,6/3,190,December 1 1992,us,R,Oregon State University
18,Miles Plumlee\plumlmi01,C,6/11,249,September 1 1988,us,4,Duke University
21,Tony Snell\snellto01,SG,6/7,200,November 10 1991,us,3,University of New Mexico
35,Mirza Teletovic\teletmi01,PF,6/9,242,September 18 1985,ba,4,
3,Jason Terry\terryja01,SG,6/2,185,September 15 1977,us,17,University of Arizona
6,Axel Toupane\toupaax01,SF,6/7,197,July 23 1992,fr,1,
20,Rashad Vaughn\vaughra01,SG,6/6,202,August 16 1996,us,1,University of Nevada Las Vegas
5,Lavoy Allen\allenla01,PF,6/9,260,February 4 1989,us,5,Temple University
0,Aaron Brooks\brookaa01,PG,6/1,161,January 14 1985,us,8,University of Oregon
25,Rakeem Christmas\chrisra01,PF,6/9,250,December 1 1991,us,1,Syracuse University
11,Monta Ellis\ellismo01,SG,6/3,185,October 26 1985,us,11,
13,Paul George\georgpa01,SF,6/9,220,May 2 1990,us,6,California State University Fresno
7,Al Jefferson\jeffeal01,C,6/10,289,January 4 1985,us,12,
0,C.J. Miles\milescj01,SF,6/6,225,April 18 1987,us,11,
32,Georges Niang\niangge01,PF,6/8,230,June 17 1993,us,R,Iowa State University
40,Glenn Robinson\robingl02,SF,6/6,222,January 8 1994,us,2,University of Michigan
1,Kevin Seraphin\serapke01,PF,6/9,285,December 7 1989,gf,6,
6,Lance Stephenson\stephla01,SG,6/5,230,September 5 1990,us,6,University of Cincinnati
2,Rodney Stuckey\stuckro01,PG,6/5,210,April 21 1986,us,9,Eastern Washington University
44,Jeff Teague\teaguje01,PG,6/2,186,June 10 1988,us,7,Wake Forest University
33,Myles Turner\turnemy01,C,6/11,243,March 24 1996,us,1,University of Texas at Austin
3,Joe Young\youngjo01,PG,6/2,180,June 27 1992,us,1,University of Houston University of Oregon
21,Thaddeus Young\youngth01,PF,6/8,221,June 21 1988,us,9,Georgia Institute of Technology
21,Jimmy Butler\butleji01,SF,6/8,236,September 14 1989,us,5,Marquette University
0,Isaiah Canaan\canaais01,SG,6/1,201,May 21 1991,us,3,Murray State University
7,Michael Carter-Williams\cartemi01,PG,6/6,190,October 10 1991,us,3,Syracuse University
6,Cristiano Felicio\feliccr01,C,6/10,275,July 7 1992,br,1,
22,Taj Gibson\gibsota01,PF,6/9,225,June 24 1985,us,7,University of Southern California
2,Jerian Grant\grantje02,PG,6/4,195,October 9 1992,us,1,University of Notre Dame
31,R.J. Hunter\hunterj01,SG,6/5,185,October 24 1993,us,1,Georgia State University
77,Joffrey Lauvergne\lauvejo01,C,6/11,220,September 30 1991,fr,2,
8,Robin Lopez\lopezro01,C,7/1,255,April 1 1988,us,8,Stanford University
11,Doug McDermott\mcderdo01,SF,6/8,225,January 3 1992,us,2,Creighton University
44,Nikola Mirotic\mirotni01,PF,6/10,220,February 11 1991,me,2,
11,Anthony Morrow\morroan01,SG,6/5,210,September 27 1985,us,8,Georgia Institute of Technology
22,Cameron Payne\payneca01,PG,6/3,185,August 8 1994,us,1,Murray State University
5,Bobby Portis\portibo01,PF,6/11,230,February 10 1995,us,1,University of Arkansas
9,Rajon Rondo\rondora01,PG,6/1,186,February 22 1986,us,10,University of Kentucky
45,Denzel Valentine\valende01,SG,6/6,212,November 16 1993,us,R,Michigan State University
3,Dwyane Wade\wadedw01,SG,6/4,220,January 17 1982,us,13,Marquette University
16,Paul Zipser\zipsepa01,SF,6/8,215,February 18 1994,de,R,
5,Luke Babbitt\babbilu01,SF,6/9,225,June 20 1989,us,6,University of Nevada Reno
7,Goran Dragic\dragigo01,PG,6/3,190,May 6 1986,si,8,
2,Wayne Ellington\ellinwa01,SG,6/4,200,October 29 1987,us,7,University of North Carolina
40,Udonis Haslem\hasleud01,C,6/8,235,June 9 1980,us,13,University of Florida
16,James Johnson\johnsja01,PF,6/9,250,February 20 1987,us,7,Wake Forest University
8,Tyler Johnson\johnsty01,PG,6/4,186,May 7 1992,us,2,California State University Fresno
17,Rodney McGruder\mcgruro01,SG,6/4,205,July 29 1991,us,R,Kansas State University
4,Josh McRoberts\mcrobjo01,PF,6/10,240,February 28 1987,us,9,Duke University
35,Willie Reed\reedwi02,C,6/10,220,May 16 1990,us,1,Saint Louis University
0,Josh Richardson\richajo01,SG,6/6,200,September 15 1993,us,1,University of Tennessee
11,Dion Waiters\waitedi01,SG,6/4,225,December 10 1991,us,4,Syracuse University
15,Okaro White\whiteok01,PF,6/8,204,August 13 1992,us,R,Florida State University
21,Hassan Whiteside\whiteha01,C,7/1,265,June 13 1989,us,4,Marshall University
22,Derrick Williams\willide02,PF,6/8,240,May 25 1991,us,5,University of Arizona
20,Justise Winslow\winslju01,SF,6/7,225,March 26 1996,us,1,Duke University
12,Aron Baynes\baynear01,C,6/10,260,December 9 1986,nz,4,Washington State University
25,Reggie Bullock\bullore01,SF,6/7,205,March 16 1991,us,3,University of North Carolina
5,Kentavious Caldwell-Pope\caldwke01,SG,6/5,205,February 18 1993,us,3,University of Georgia
0,Andre Drummond\drumman01,C,6/11,279,August 10 1993,us,4,University of Connecticut
8,Henry Ellenson\ellenhe01,PF,6/11,245,January 13 1997,us,R,Marquette University
9,Michael Gbinije\gbinimi01,SG,6/7,200,June 5 1992,us,R,Duke University Syracuse University
34,Tobias Harris\harrito02,PF,6/9,235,July 15 1992,us,5,University of Tennessee
6,Darrun Hilliard\hillida01,SG,6/6,205,April 13 1993,us,1,Villanova University
1,Reggie Jackson\jacksre01,PG,6/3,208,April 16 1990,it,5,Boston College
7,Stanley Johnson\johnsst04,SF,6/7,245,May 29 1996,us,1,University of Arizona
30,Jon Leuer\leuerjo01,PF,6/10,228,May 14 1989,us,5,University of Wisconsin
51,Boban Marjanovic\marjabo01,C,7/3,290,August 15 1988,rs,1,
13,Marcus Morris\morrima03,SF,6/9,235,September 2 1989,us,5,University of Kansas
14,Ish Smith\smithis01,PG,6/1,175,July 5 1988,us,6,Wake Forest University
19,Beno Udrih\udrihbe01,PG,6/3,205,July 5 1982,si,12,
5,Nicolas Batum\batumni01,SG,6/8,200,December 14 1988,fr,8,
21,Marco Belinelli\belinma01,SG,6/5,210,March 25 1986,it,9,
12,Treveon Graham\grahatr01,SG,6/6,220,October 29 1993,us,R,Virginia Commonwealth University
9,Aaron Harrison\harriaa01,SG,6/6,210,October 28 1994,us,1,University of Kentucky
0,Spencer Hawes\hawessp01,PF,7/1,245,April 28 1988,us,9,University of Washington
55,Roy Hibbert\hibbero01,C,7/2,270,December 11 1986,us,8,Georgetown University
44,Frank Kaminsky\kaminfr01,C,7/1,242,April 4 1993,us,1,University of Wisconsin
14,Michael Kidd-Gilchrist\kiddgmi01,SF,6/7,232,September 26 1993,us,4,University of Kentucky
3,Jeremy Lamb\lambje01,SG,6/5,185,May 30 1992,us,4,University of Connecticut
8,Johnny O'Bryant\obryajo01,PF,6/9,257,June 1 1993,us,2,Louisiana State University
18,Miles Plumlee\plumlmi01,C,6/11,249,September 1 1988,us,4,Duke University
22,Brian Roberts\roberbr01,PG,6/1,173,December 3 1985,us,4,University of Dayton
7,Ramon Sessions\sessira01,PG,6/3,190,April 11 1986,us,9,University of Nevada Reno
10,Mike Tobey\tobeymi01,C,7/1,260,October 10 1994,us,R,University of Virginia
15,Kemba Walker\walkeke02,PG,6/1,172,May 8 1990,us,5,University of Connecticut
0,Briante Weber\weberbr01,PG,6/2,165,December 29 1992,us,1,Virginia Commonwealth University
2,Marvin Williams\willima02,PF,6/9,237,June 19 1986,us,11,University of North Carolina
35,Christian Wood\woodch01,PF,6/11,220,September 27 1995,us,1,University of Nevada Las Vegas
40,Cody Zeller\zelleco01,C,7/1,240,October 5 1992,us,3,Indiana University
7,Carmelo Anthony\anthoca01,SF,6/8,240,May 29 1984,us,13,Syracuse University
31,Ron Baker\bakerro01,SG,6/4,220,March 30 1993,us,R,Wichita State University
14,Willy Hernangomez\hernawi01,C,6/11,240,May 27 1994,es,R,
8,Justin Holiday\holidju01,SG,6/6,185,April 5 1989,us,3,University of Washington
3,Brandon Jennings\jennibr01,PG,6/1,170,September 23 1989,us,7,
91,Mindaugas Kuzminskas\kuzmimi01,SF,6/9,215,October 19 1989,lt,R,
5,Courtney Lee\leeco01,SG,6/5,200,October 3 1985,us,8,Western Kentucky University
2,Maurice Ndour\ndourma01,PF,6/9,200,June 18 1992,sn,R,Ohio University
13,Joakim Noah\noahjo01,C,6/11,230,February 25 1985,us,9,University of Florida
9,Kyle O'Quinn\oquinky01,C,6/10,250,March 26 1990,us,4,Norfolk State University
40,Marshall Plumlee\plumlma02,C,7/1,250,July 14 1992,us,R,Duke University
6,Kristaps Porzingis\porzikr01,PF,7/3,240,August 2 1995,lv,1,
4,Chasson Randle\randlch01,PG,6/2,185,February 5 1993,us,R,Stanford University
25,Derrick Rose\rosede01,PG,6/3,190,October 4 1988,us,7,University of Memphis
42,Lance Thomas\thomala01,PF,6/8,235,April 24 1988,us,5,Duke University
18,Sasha Vujacic\vujacsa01,SG,6/7,195,March 8 1984,si,9,
14,D.J. Augustin\augusdj01,PG,6/1,183,November 10 1987,us,8,University of Texas at Austin
11,Bismack Biyombo\biyombi01,C,6/9,255,August 28 1992,cd,5,
21,Anthony Brown\brownan02,SF,6/7,210,October 10 1992,us,1,Stanford University
10,Evan Fournier\fournev01,SG,6/7,205,October 29 1992,fr,4,
29,Patricio Garino\garinpa01,SG,6/6,210,May 17 1993,ar,R,George Washington University
13,Marcus Georges-Hunt\georgma01,SG,6/5,216,March 28 1994,us,R,Georgia Institute of Technology
0,Aaron Gordon\gordoaa01,SF,6/9,220,September 16 1995,us,2,University of Arizona
34,Jeff Green\greenje02,PF,6/9,235,August 28 1986,us,8,Georgetown University
8,Mario Hezonja\hezonma01,SF,6/8,215,February 25 1995,hr,1,
7,Serge Ibaka\ibakase01,PF,6/10,235,September 18 1989,cg,7,
20,Jodie Meeks\meeksjo01,SG,6/4,210,August 21 1987,us,7,University of Kentucky
21,Arinze Onuaku\onuakar01,C,6/9,255,July 13 1987,us,2,Syracuse University
4,Elfrid Payton\paytoel01,PG,6/4,185,February 22 1994,us,2,University of Louisiana at Lafayette
31,Terrence Ross\rosste01,SF,6/7,206,February 5 1991,us,4,University of Washington
3,Damjan Rudez\rudezda01,SF,6/10,228,June 17 1986,hr,2,
9,Nikola Vucevic\vucevni01,C,7/1,260,October 24 1990,ch,5,University of Southern California
32,C.J. Watson\watsocj01,PG,6/2,175,April 17 1984,us,9,University of Tennessee
23,C.J. Wilcox\wilcocj01,SG,6/5,195,December 30 1990,us,2,University of Washington
33,Stephen Zimmerman\zimmest01,C,7/1,240,September 9 1996,us,R,University of Nevada Las Vegas
23,Justin Anderson\anderju01,SF,6/6,228,November 19 1993,us,1,University of Virginia
0,Jerryd Bayless\bayleje01,PG,6/3,200,August 20 1988,us,8,University of Arizona
33,Robert Covington\covinro01,SF,6/9,215,December 14 1990,us,3,Tennessee State University
21,Joel Embiid\embiijo01,C,7/1,250,March 16 1994,cm,R,University of Kansas
39,Jerami Grant\grantje01,PF,6/8,210,March 12 1994,us,2,Syracuse University
30,Justin Harper\harpeju01,PF,6/10,225,August 30 1989,us,2,University of Richmond
12,Gerald Henderson\hendege02,SG,6/5,215,December 9 1987,us,7,Duke University
22,Richaun Holmes\holmeri01,C,6/10,245,October 15 1993,us,1,Bowling Green State University
7,Ersan Ilyasova\ilyaser01,PF,6/10,235,May 15 1987,tr,8,
36,Shawn Long\longsh01,C,6/9,255,January 29 1993,us,R,University of Louisiana at Lafayette
20,Timothe Luwawu-Cabarrot\luwawti01,SF,6/6,205,May 9 1995,fr,R,
1,T.J. McConnell\mccontj01,PG,6/2,200,March 25 1992,us,1,Duquesne University University of Arizona
4,Nerlens Noel\noelne01,C,6/11,228,April 10 1994,us,2,University of Kentucky
8,Jahlil Okafor\okafoja01,C,6/11,275,December 15 1995,us,1,Duke University
5,Alex Poythress\poythal01,PF,6/7,238,September 6 1993,us,R,University of Kentucky
5,Chasson Randle\randlch01,PG,6/2,185,February 5 1993,us,R,Stanford University
14,Sergio Rodriguez\rodrise01,PG,6/3,176,June 12 1986,es,4,
9,Dario Saric\saricda01,PF,6/10,223,April 8 1994,hr,R,
47,Tiago Splitter\splitti01,C,6/11,245,January 1 1985,br,6,
11,Nik Stauskas\stausni01,SG,6/6,205,October 7 1993,ca,2,University of Michigan
31,Hollis Thompson\thompho01,SG,6/8,206,April 3 1991,us,3,Georgetown University
13,Quincy Acy\acyqu01,PF,6/7,240,October 6 1990,us,4,Baylor University
13,Anthony Bennett\bennean01,PF,6/8,245,March 14 1993,ca,3,University of Nevada Las Vegas
44,Bojan Bogdanovic\bogdabo02,SF,6/8,216,April 18 1989,ba,2,
35,Trevor Booker\booketr01,PF,6/8,228,November 25 1987,us,6,Clemson University
8,Spencer Dinwiddie\dinwisp01,PG,6/6,200,April 6 1993,us,2,University of Colorado
10,Yogi Ferrell\ferreyo01,PG,6/1,180,May 9 1993,us,R,Indiana University
2,Randy Foye\foyera01,SG,6/4,213,September 24 1983,us,10,Villanova University
10,Archie Goodwin\goodwar01,SG,6/5,200,August 17 1994,us,3,University of Kentucky
41,Justin Hamilton\hamilju01,C,7/1,260,April 1 1990,us,2,Iowa State University Louisiana State University
12,Joe Harris\harrijo01,SG,6/6,219,September 6 1991,us,2,University of Virginia
24,Rondae Hollis-Jefferson\holliro01,SF,6/7,220,January 3 1995,us,1,University of Arizona
6,Sean Kilpatrick\kilpase01,SG,6/4,210,January 6 1990,us,2,University of Cincinnati
22,Caris LeVert\leverca01,SF,6/7,203,August 25 1994,us,R,University of Michigan
7,Jeremy Lin\linje01,PG,6/3,200,August 23 1988,us,6,Harvard University
11,Brook Lopez\lopezbr01,C,7/1,275,April 1 1988,us,8,Stanford University
1,Chris McCullough\mcculch01,PF,6/11,200,February 5 1995,us,1,Syracuse University
14,K.J. McDaniels\mcdankj01,SF,6/6,205,February 9 1993,us,2,Clemson University
44,Andrew Nicholson\nichoan01,PF,6/9,250,December 8 1989,ca,4,St. Bonaventure University
4,Luis Scola\scolalu01,PF,6/9,240,April 30 1980,ar,9,
21,Greivis Vasquez\vasqugr01,PG,6/6,217,January 16 1987,ve,6,University of Maryland
15,Isaiah Whitehead\whiteis01,PG,6/4,213,March 8 1995,us,R,Seton Hall University
22,Matt Barnes\barnema02,SF,6/7,226,March 9 1980,us,13,University of California Los Angeles
21,Ian Clark\clarkia01,SG,6/3,175,March 7 1991,us,3,Belmont University
30,Stephen Curry\curryst01,PG,6/3,190,March 14 1988,us,7,Davidson College
35,Kevin Durant\duranke01,PF,6/9,240,September 29 1988,us,9,University of Texas at Austin
23,Draymond Green\greendr01,PF,6/7,230,March 4 1990,us,4,Michigan State University
9,Andre Iguodala\iguodan01,SF,6/6,215,January 28 1984,us,12,University of Arizona
15,Damian Jones\jonesda03,C,7/1,245,June 30 1995,us,R,Vanderbilt University
34,Shaun Livingston\livinsh01,PG,6/7,192,September 11 1985,us,11,
5,Kevon Looney\looneke01,C,6/9,220,February 6 1996,us,1,University of California Los Angeles
20,James Michael McAdoo\mcadoja01,PF,6/9,230,January 4 1993,us,2,University of North Carolina
0,Patrick McCaw\mccawpa01,SG,6/7,185,October 25 1995,us,R,University of Nevada Las Vegas
1,JaVale McGee\mcgeeja01,C,7/1,270,January 19 1988,us,8,University of Nevada Reno
27,Zaza Pachulia\pachuza01,C,6/11,270,February 10 1984,ge,13,
11,Klay Thompson\thompkl01,SG,6/7,215,February 8 1990,us,5,Washington State University
18,Anderson Varejao\varejan01,C,6/10,273,September 28 1982,br,12,
2,Briante Weber\weberbr01,PG,6/2,165,December 29 1992,us,1,Virginia Commonwealth University
3,David West\westda01,C,6/9,250,August 29 1980,us,13,Xavier University
12,LaMarcus Aldridge\aldrila01,PF,6/11,260,July 19 1985,us,10,University of Texas at Austin
1,Kyle Anderson\anderky01,SF,6/9,230,September 20 1993,us,2,University of California Los Angeles
30,Joel Anthony\anthojo01,C,6/9,245,August 9 1982,ca,9,University of Nevada Las Vegas
42,Davis Bertans\bertada01,PF,6/10,210,November 12 1992,lv,R,
3,Dewayne Dedmon\dedmode01,C,7/1,245,August 12 1989,us,3,University of Southern California
11,Bryn Forbes\forbebr01,SG,6/3,190,July 23 1993,us,R,Michigan State University
16,Pau Gasol\gasolpa01,C,7/1,250,July 6 1980,es,15,
20,Manu Ginobili\ginobma01,SG,6/6,205,July 28 1977,ar,14,
14,Danny Green\greenda02,SG,6/6,215,June 22 1987,us,7,University of North Carolina
27,Nicolas Laprovittola\laproni01,PG,6/4,180,January 31 1990,ar,R,
10,David Lee\leeda02,PF,6/9,245,April 29 1983,us,11,University of Florida
2,Kawhi Leonard\leonaka01,SF,6/7,230,June 29 1991,us,5,San Diego State University
8,Patty Mills\millspa02,PG,6/1,185,August 11 1988,au,7,Saint Mary's College of California
5,Dejounte Murray\murrade01,PG,6/5,170,September 19 1996,us,R,University of Washington
9,Tony Parker\parketo01,PG,6/2,185,May 17 1982,be,15,
17,Jonathon Simmons\simmojo02,SG,6/6,195,September 14 1989,us,1,University of Houston
3,Ryan Anderson\anderry01,PF,6/10,240,May 6 1988,us,8,University of California
1,Trevor Ariza\arizatr01,SF,6/8,215,June 30 1985,us,12,University of California Los Angeles
2,Patrick Beverley\beverpa01,SG,6/1,185,July 12 1988,us,4,University of Arkansas
33,Corey Brewer\breweco01,SF,6/9,186,March 5 1986,us,9,University of Florida
8,Bobby Brown\brownbo02,PG,6/2,175,September 24 1984,us,2,California State University Fullerton
15,Clint Capela\capelca01,C,6/10,240,May 18 1994,ch,2,
7,Sam Dekker\dekkesa01,PF,6/9,230,May 6 1994,us,1,University of Wisconsin
6,Tyler Ennis\ennisty01,PG,6/3,194,August 24 1994,ca,2,Syracuse University
10,Eric Gordon\gordoer01,SG,6/4,215,December 25 1988,us,8,Indiana University
13,James Harden\hardeja01,PG,6/5,220,August 26 1989,us,7,Arizona State University
5,Montrezl Harrell\harremo01,C,6/8,240,January 26 1994,us,1,University of Louisville
42,Nene Hilario\hilarne01,C,6/11,250,September 13 1982,br,14,
32,K.J. McDaniels\mcdankj01,SF,6/6,205,February 9 1993,us,2,Clemson University
21,Chinanu Onuaku\onuakch01,C,6/10,245,November 1 1996,us,R,University of Louisville
17,Isaiah Taylor\taylois01,PG,6/3,170,July 11 1994,us,R,University of Texas at Austin
12,Lou Williams\willilo02,SG,6/1,175,October 27 1986,us,11,
14,Troy Williams\willitr02,SF,6/7,218,December 30 1994,us,R,Indiana University
30,Kyle Wiltjer\wiltjky01,PF,6/10,240,October 20 1992,us,R,Gonzaga University
9,Alan Anderson\anderal01,SF,6/6,220,October 16 1982,us,7,Michigan State University
30,Brandon Bass\bassbr01,PF,6/8,250,April 30 1985,us,11,Louisiana State University
11,Jamal Crawford\crawfja01,SG,6/5,200,March 20 1980,us,16,University of Michigan
2,Raymond Felton\feltora01,PG,6/1,205,June 26 1984,us,11,University of North Carolina
