No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
23,LeBron James\jamesle01,PF,6/8,250,December 30 1984,us,14,
26,Kyle Korver\korveky01,SG,6/7,212,March 17 1981,us,14,Creighton University
0,Kevin Love\loveke01,C,6/10,251,September 7 1988,us,9,University of California Los Angeles
22,Larry Nance\nancela02,C,6/9,230,January 1 1993,us,2,University of Wyoming
16,Cedi Osman\osmande01,SF,6/8,210,April 8 1995,mk,R,
21,Kendrick Perkins\perkike01,C,6/10,270,November 10 1984,us,13,
15,London Perrantes\perralo01,PG,6/2,200,October 3 1994,us,R,University of Virginia
1,Derrick Rose\rosede01,PG,6/3,190,October 4 1988,us,8,University of Memphis
4,Iman Shumpert\shumpim01,SG,6/5,220,June 26 1990,us,6,Georgia Institute of Technology
5,J.R. Smith\smithjr01,SG,6/6,225,September 9 1985,us,13,
3,Isaiah Thomas\thomais02,PG,5/9,185,February 7 1989,us,6,University of Washington
13,Tristan Thompson\thomptr01,C,6/9,238,March 13 1991,ca,6,University of Texas at Austin
9,Dwyane Wade\wadedw01,SG,6/4,220,January 17 1982,us,14,Marquette University
41,Ante Zizic\zizican01,C,6/11,250,January 4 1997,hr,R,
13,Ike Anigbogu\anigbik01,C,6/10,252,October 22 1998,us,R,University of California Los Angeles
44,Bojan Bogdanovic\bogdabo02,SF,6/8,216,April 18 1989,ba,3,
20,Trevor Booker\booketr01,PF,6/8,228,November 25 1987,us,7,Clemson University
2,Darren Collison\collida01,PG,6/1,175,August 23 1987,us,8,University of California Los Angeles
25,Al Jefferson\jeffeal01,C,6/10,289,January 4 1985,us,13,
6,Cory Joseph\josepco01,PG,6/3,193,August 20 1991,ca,6,University of Texas at Austin
22,T.J. Leaf\leaftj01,PF,6/10,222,April 30 1997,il,R,University of California Los Angeles
10,Trey McKinney-Jones\mckintr01,SG,6/5,214,August 27 1990,us,R,University of Miami
26,Ben Moore\moorebe01,PF,6/7,203,May 13 1995,us,R,Southern Methodist University
4,Victor Oladipo\oladivi01,SG,6/4,210,May 4 1992,us,4,Indiana University
0,Alex Poythress\poythal01,PF,6/7,238,September 6 1993,us,1,University of Kentucky
40,Glenn Robinson\robingl02,SF,6/6,222,January 8 1994,us,3,University of Michigan
11,Domantas Sabonis\sabondo01,C,6/11,240,May 3 1996,us,1,Gonzaga University
1,Lance Stephenson\stephla01,SG,6/5,230,September 5 1990,us,7,University of Cincinnati
5,Edmond Sumner\sumneed01,PG,6/6,176,December 31 1995,us,R,Xavier University
33,Myles Turner\turnemy01,C,6/11,243,March 24 1996,us,2,University of Texas at Austin
12,Damien Wilkins\wilkida02,SF,6/6,225,January 11 1980,us,9,North Carolina State University University of Georgia
3,Joe Young\youngjo01,PG,6/2,180,June 27 1992,us,2,University of Houston University of Oregon
21,Thaddeus Young\youngth01,PF,6/8,221,June 21 1988,us,10,Georgia Institute of Technology
34,Giannis Antetokounmpo\antetgi01,PF,6/11,222,December 6 1994,gr,4,
6,Eric Bledsoe\bledser01,PG,6/1,205,December 9 1989,us,7,University of Kentucky
24,Joel Bolomboy\bolomjo01,PF,6/9,235,January 28 1994,ua,1,Weber State University
13,Malcolm Brogdon\brogdma01,PG,6/5,215,December 11 1992,us,1,University of Virginia
23,Sterling Brown\brownst02,SG,6/5,225,February 10 1995,us,R,Southern Methodist University
8,Matthew Dellavedova\dellama01,PG,6/4,198,September 8 1990,au,4,Saint Mary's College of California
31,John Henson\hensojo01,C,6/11,229,December 28 1990,us,5,University of North Carolina
11,Brandon Jennings\jennibr01,PG,6/1,170,September 23 1989,us,8,
9,Sean Kilpatrick\kilpase01,SG,6/4,210,January 6 1990,us,3,University of Cincinnati
25,DeAndre Liggins\liggide01,SG,6/6,209,March 31 1988,us,4,University of Kentucky
7,Thon Maker\makerth01,C,7/1,216,February 25 1997,ss,1,
22,Khris Middleton\middlkh01,SF,6/8,234,August 12 1991,us,5,Texas A&M University
15,Greg Monroe\monrogr01,C,6/11,265,June 4 1990,us,7,Georgetown University
15,Shabazz Muhammad\muhamsh01,SG,6/6,223,November 13 1992,us,4,University of California Los Angeles
0,Xavier Munford\munfoxa02,SG,6/2,180,June 1 1992,us,1,University of Rhode Island
12,Jabari Parker\parkeja01,PF,6/8,250,March 15 1995,us,3,Duke University
0,Gary Payton\paytoga02,PG,6/3,190,December 1 1992,us,1,Oregon State University
40,Marshall Plumlee\plumlma02,C,7/1,250,July 14 1992,us,1,Duke University
21,Tony Snell\snellto01,SG,6/7,200,November 10 1991,us,4,University of New Mexico
35,Mirza Teletovic\teletmi01,PF,6/9,242,September 18 1985,ba,5,
3,Jason Terry\terryja01,SG,6/2,185,September 15 1977,us,18,University of Arizona
20,Rashad Vaughn\vaughra01,SG,6/6,202,August 16 1996,us,2,University of Nevada Las Vegas
5,D.J. Wilson\wilsodj01,PF,6/10,234,February 19 1996,us,R,University of Michigan
44,Tyler Zeller\zellety01,C,7/1,253,January 17 1990,us,5,University of North Carolina
22,Avery Bradley\bradlav01,SG,6/2,180,November 26 1990,us,7,University of Texas at Austin
25,Reggie Bullock\bullore01,SF,6/7,205,March 16 1991,us,4,University of North Carolina
20,Dwight Buycks\buyckdw01,PG,6/3,190,March 6 1989,us,2,Marquette University
0,Andre Drummond\drumman01,C,6/11,279,August 10 1993,us,5,University of Connecticut
8,Henry Ellenson\ellenhe01,PF,6/11,245,January 13 1997,us,1,Marquette University
33,James Ennis\ennisja01,SF,6/7,210,July 1 1990,us,3,California State University Long Beach
22,Kay Felder\feldeka01,PG,5/9,176,March 29 1995,us,1,Oakland University
9,Langston Galloway\gallola01,SG,6/2,200,December 9 1991,us,3,Saint Joseph's University
23,Blake Griffin\griffbl01,PF,6/10,251,March 16 1989,us,7,University of Oklahoma
34,Tobias Harris\harrito02,PF,6/9,235,July 15 1992,us,6,University of Tennessee
38,Reggie Hearn\hearnre01,SG,6/5,210,August 14 1991,us,R,Northwestern University
1,Reggie Jackson\jacksre01,PG,6/3,208,April 16 1990,it,6,Boston College
7,Stanley Johnson\johnsst04,SF,6/7,245,May 29 1996,us,2,University of Arizona
5,Luke Kennard\kennalu01,SG,6/6,206,June 24 1996,us,R,Duke University
30,Jon Leuer\leuerjo01,PF,6/10,228,May 14 1989,us,6,University of Wisconsin
51,Boban Marjanovic\marjabo01,C,7/3,290,August 15 1988,rs,2,
44,Luis Montero\montelu01,SG,6/7,185,April 6 1993,do,1,Westchester CC
24,Eric Moreland\moreler01,PF,6/10,238,December 24 1991,us,2,Oregon State University
41,Jameer Nelson\nelsoja01,PG,6/1,190,February 9 1982,us,13,Saint Joseph's University
33,Willie Reed\reedwi02,C,6/10,220,May 16 1990,us,2,Saint Louis University
14,Ish Smith\smithis01,PG,6/1,175,July 5 1988,us,7,Wake Forest University
43,Anthony Tolliver\tollian01,PF,6/8,240,June 1 1985,us,9,Creighton University
15,Ryan Arcidiacono\arcidry01,PG,6/3,188,March 26 1994,us,R,Villanova University
3,Omer Asik\asikom01,C,7/1,255,July 4 1986,tr,7,
9,Antonio Blakeney\blakean01,SG,6/4,197,October 4 1996,us,R,Louisiana State University
32,Kris Dunn\dunnkr01,PG,6/4,210,March 18 1994,us,1,Providence College
31,Jarell Eddie\eddieja01,SF,6/7,218,October 30 1991,us,2,Virginia Polytechnic Institute and State University
3,Kay Felder\feldeka01,PG,5/9,176,March 29 1995,us,1,Oakland University
6,Cristiano Felicio\feliccr01,C,6/10,275,July 7 1992,br,2,
2,Jerian Grant\grantje02,PG,6/4,195,October 9 1992,us,2,University of Notre Dame
7,Justin Holiday\holidju01,SG,6/6,185,April 5 1989,us,4,University of Washington
0,Sean Kilpatrick\kilpase01,SG,6/4,210,January 6 1990,us,3,University of Cincinnati
8,Zach LaVine\lavinza01,SG,6/5,189,March 10 1995,us,3,University of California Los Angeles
42,Robin Lopez\lopezro01,C,7/1,255,April 1 1988,us,9,Stanford University
24,Lauri Markkanen\markkla01,PF,7/1,230,May 22 1997,fi,R,University of Arizona
44,Nikola Mirotic\mirotni01,PF,6/10,220,February 11 1991,me,3,
11,David Nwaba\nwabada01,SG,6/4,209,January 14 1993,us,1,California Polytechnic State University San Luis Obispo
22,Cameron Payne\payneca01,PG,6/3,185,August 8 1994,us,2,Murray State University
20,Quincy Pondexter\pondequ01,SF,6/7,220,March 10 1988,us,5,University of Washington
5,Bobby Portis\portibo01,PF,6/11,230,February 10 1995,us,2,University of Arkansas
45,Denzel Valentine\valende01,SG,6/6,212,November 16 1993,us,1,Michigan State University
30,Noah Vonleh\vonleno01,PF,6/10,240,August 24 1995,us,3,Indiana University
16,Paul Zipser\zipsepa01,SF,6/8,215,February 18 1994,de,1,
