No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
8,Luke Babbitt\babbilu01,SF,6/9,225,June 20 1989,us,7,University of Nevada Reno
24,Kent Bazemore\bazemke01,SG,6/5,201,July 1 1989,us,5,Old Dominion University
3,Marco Belinelli\belinma01,SG,6/5,210,March 25 1986,it,10,
95,DeAndre' Bembry\bembrde01,SF,6/6,210,July 4 1994,us,1,Saint Joseph's University
16,Nicolas Brussino\brussni01,SF,6/7,195,March 2 1993,ar,1,
34,Tyler Cavanaugh\cavanty01,PF,6/9,239,February 9 1994,us,R,George Washington University
0,Antonius Cleveland\clevean01,SG,6/6,195,February 2 1994,us,R,Southeast Missouri State University
20,John Collins\collijo01,PF,6/10,235,September 23 1997,us,R,Wake Forest University
14,Dewayne Dedmon\dedmode01,C,7/1,245,August 12 1989,us,4,University of Southern California
5,Malcolm Delaney\delanma01,PG,6/3,190,March 11 1989,us,1,Virginia Polytechnic Institute and State University
2,Tyler Dorsey\dorsety01,SG,6/5,183,February 14 1996,us,R,University of Oregon
6,Jeremy Evans\evansje01,SF,6/9,200,October 24 1987,us,6,Western Kentucky University
7,Ersan Ilyasova\ilyaser01,PF,6/10,235,May 15 1987,tr,9,
8,Damion Lee\leeda03,SG,6/6,210,October 21 1992,us,R,Drexel University University of Louisville
11,Josh Magette\magetjo01,PG,6/1,160,November 28 1989,us,R,Alabama - Huntsville
3,Jaylen Morris\morrija01,SG,6/5,185,September 19 1995,us,R,Molloy
31,Mike Muscala\muscami01,C,6/11,240,July 1 1991,us,4,Bucknell University
18,Miles Plumlee\plumlmi01,C,6/11,249,September 1 1988,us,5,Duke University
17,Dennis Schroder\schrode01,PG,6/1,172,September 15 1993,de,4,
22,Isaiah Taylor\taylois01,PG,6/3,170,July 11 1994,us,1,University of Texas at Austin
12,Taurean Waller-Prince\princta02,SF,6/8,220,March 22 1994,us,1,Baylor University
4,Andrew White\whitean01,SF,6/7,210,June 16 1993,us,R,University of Nebraska Syracuse University
45,Kadeem Allen\allenka01,PG,6/3,192,January 15 1993,us,R,University of Arizona
46,Aron Baynes\baynear01,C,6/10,260,December 9 1986,nz,5,Washington State University
26,Jabari Bird\birdja01,SG,6/6,197,July 3 1994,us,R,University of California
7,Jaylen Brown\brownja02,SG,6/7,225,October 24 1996,us,1,University of California
9,Jarell Eddie\eddieja01,SF,6/7,218,October 30 1991,us,2,Virginia Polytechnic Institute and State University
60,Jonathan Gibson\gibsojo01,PG,6/2,185,November 8 1987,us,1,New Mexico State University
20,Gordon Hayward\haywago01,SF,6/8,226,March 23 1990,us,7,Butler University
42,Al Horford\horfoal01,C,6/10,245,June 3 1986,do,10,University of Florida
11,Kyrie Irving\irvinky01,PG,6/3,193,March 23 1992,au,6,Duke University
8,Shane Larkin\larkish01,PG,5/11,175,October 2 1992,us,3,University of Miami
55,Greg Monroe\monrogr01,C,6/11,265,June 4 1990,us,7,Georgetown University
13,Marcus Morris\morrima03,PF,6/9,235,September 2 1989,us,6,University of Kansas
28,Abdel Nader\naderab01,SF,6/6,230,September 25 1993,eg,R,Northern Illinois University Iowa State University
37,Semi Ojeleye\ojelese01,PF,6/7,241,December 5 1994,us,R,Southern Methodist University
12,Terry Rozier\roziete01,PG,6/2,190,March 17 1994,us,2,University of Louisville
9,Xavier Silas\silasxa01,SG,6/5,205,January 22 1988,us,1,University of Colorado Northern Illinois University
36,Marcus Smart\smartma01,SG,6/4,220,March 6 1994,us,3,Oklahoma State University
0,Jayson Tatum\tatumja01,SF,6/8,205,March 3 1998,us,R,Duke University
27,Daniel Theis\theisda01,C,6/9,215,April 4 1992,de,R,
30,Guerschon Yabusele\yabusgu01,PF,6/7,260,December 17 1995,fr,R,
3,OG Anunoby\anunoog01,SF,6/8,232,July 17 1997,gb,R,Indiana University
4,Lorenzo Brown\brownlo01,PG,6/5,189,August 26 1990,us,3,North Carolina State University
5,Bruno Caboclo\cabocbr01,SF,6/9,218,September 21 1995,br,3,
10,DeMar DeRozan\derozde01,SG,6/7,221,August 7 1989,us,8,University of Southern California
2,Nigel Hayes\hayesni01,SF,6/8,254,December 16 1994,us,R,University of Wisconsin
9,Serge Ibaka\ibakase01,PF,6/10,235,September 18 1989,cg,8,
7,Kyle Lowry\lowryky01,PG,6/1,205,March 25 1986,us,11,Villanova University
34,Alfonzo McKinnie\mckinal01,SF,6/8,215,September 17 1992,us,R,University of Wisconsin-Green Bay
0,C.J. Miles\milescj01,SF,6/6,225,April 18 1987,us,12,
13,Malcolm Miller\millema01,SF,6/7,210,March 6 1993,us,R,College of the Holy Cross
92,Lucas Nogueira\noguelu01,C,7/1,241,July 26 1992,br,3,
42,Jakob Poeltl\poeltja01,C,7/1,248,October 15 1995,at,1,University of Utah
24,Norman Powell\powelno01,SG,6/4,215,May 25 1993,us,2,University of California Los Angeles
22,Malachi Richardson\richama01,SG,6/6,205,January 5 1996,us,1,Syracuse University
43,Pascal Siakam\siakapa01,PF,6/9,230,February 4 1994,cm,1,New Mexico State University
17,Jonas Valanciunas\valanjo01,C,7/1,265,May 6 1992,lt,5,
23,Fred VanVleet\vanvlfr01,PG,6/1,195,February 25 1994,us,1,Wichita State University
55,Delon Wright\wrighde01,PG,6/5,183,April 26 1992,us,2,University of Utah
1,Justin Anderson\anderju01,SF,6/6,228,November 19 1993,us,2,University of Virginia
0,Jerryd Bayless\bayleje01,SG,6/3,200,August 20 1988,us,9,University of Arizona
18,Marco Belinelli\belinma01,SG,6/5,210,March 25 1986,it,10,
35,Trevor Booker\booketr01,PF,6/8,228,November 25 1987,us,7,Clemson University
33,Robert Covington\covinro01,SF,6/9,215,December 14 1990,us,4,Tennessee State University
27,Larry Drew\drewla02,PG,6/2,180,March 5 1990,us,1,University of North Carolina University of California Los Angeles
21,Joel Embiid\embiijo01,C,7/1,250,March 16 1994,cm,1,University of Kansas
20,Markelle Fultz\fultzma01,SG,6/4,195,May 29 1998,us,R,University of Washington
22,Richaun Holmes\holmeri01,C,6/10,245,October 15 1993,us,2,Bowling Green State University
23,Ersan Ilyasova\ilyaser01,PF,6/10,235,May 15 1987,tr,9,
11,Demetrius Jackson\jacksde01,PG,6/1,201,September 7 1994,us,1,University of Notre Dame
5,Amir Johnson\johnsam01,C,6/9,240,May 1 1987,us,12,
30,Furkan Korkmaz\korkmfu01,SG,6/7,185,July 24 1997,tr,R,
7,Timothe Luwawu-Cabarrot\luwawti01,SF,6/6,205,May 9 1995,fr,1,
14,James Michael McAdoo\mcadoja01,PF,6/9,230,January 4 1993,us,3,University of North Carolina
12,T.J. McConnell\mccontj01,PG,6/2,200,March 25 1992,us,2,Duquesne University University of Arizona
8,Jahlil Okafor\okafoja01,C,6/11,275,December 15 1995,us,2,Duke University
0,Jacob Pullen\pulleja01,PG,6/1,200,November 10 1989,us,R,Kansas State University
17,J.J. Redick\redicjj01,SG,6/4,190,June 24 1984,us,11,Duke University
9,Dario Saric\saricda01,PF,6/10,223,April 8 1994,hr,1,
25,Ben Simmons\simmobe01,PG,6/10,230,July 20 1996,au,R,Louisiana State University
11,Nik Stauskas\stausni01,SG,6/6,205,October 7 1993,ca,3,University of Michigan
8,James Young\youngja01,SG,6/6,215,August 16 1995,us,3,University of Kentucky
31,Ron Baker\bakerro01,SG,6/4,220,March 30 1993,us,1,Wichita State University
8,Michael Beasley\beaslmi01,PF,6/9,235,January 9 1989,us,9,Kansas State University
23,Trey Burke\burketr01,PG,6/1,191,November 12 1992,us,4,University of Michigan
21,Damyean Dotson\dotsoda01,SG,6/6,205,May 6 1994,us,R,University of Oregon University of Houston
3,Tim Hardaway\hardati02,SG,6/6,205,March 16 1992,us,4,University of Michigan
14,Willy Hernangomez\hernawi01,C,6/11,240,May 27 1994,es,1,
4,Isaiah Hicks\hicksis01,PF,6/9,233,July 24 1994,us,R,University of North Carolina
55,Jarrett Jack\jackja01,PG,6/3,200,October 28 1983,us,12,Georgia Institute of Technology
0,Enes Kanter\kanteen01,C,6/11,245,May 20 1992,ch,6,
2,Luke Kornet\kornelu01,PF,7/1,250,July 15 1995,us,R,Vanderbilt University
91,Mindaugas Kuzminskas\kuzmimi01,SF,6/9,215,October 19 1989,lt,1,
5,Courtney Lee\leeco01,SG,6/5,200,October 3 1985,us,9,Western Kentucky University
20,Doug McDermott\mcderdo01,SF,6/8,225,January 3 1992,us,3,Creighton University
1,Emmanuel Mudiay\mudiaem01,PG,6/5,200,March 5 1996,cd,2,
13,Joakim Noah\noahjo01,C,6/11,230,February 25 1985,us,10,University of Florida
11,Frank Ntilikina\ntilila01,PG,6/5,190,July 28 1998,be,R,
9,Kyle O'Quinn\oquinky01,C,6/10,250,March 26 1990,us,5,Norfolk State University
6,Kristaps Porzingis\porzikr01,PF,7/3,240,August 2 1995,lv,2,
1,Ramon Sessions\sessira01,PG,6/3,190,April 11 1986,us,10,University of Nevada Reno
42,Lance Thomas\thomala01,PF,6/8,235,April 24 1988,us,6,Duke University
0,Troy Williams\willitr02,SF,6/7,218,December 30 1994,us,1,Indiana University
13,Quincy Acy\acyqu01,PF,6/7,240,October 6 1990,us,5,Baylor University
31,Jarrett Allen\allenja01,C,6/10,234,April 21 1998,us,R,University of Texas at Austin
35,Trevor Booker\booketr01,PF,6/8,228,November 25 1987,us,7,Clemson University
9,DeMarre Carroll\carrode01,SF,6/8,215,July 27 1986,us,8,Vanderbilt University University of Missouri
33,Allen Crabbe\crabbal01,SG,6/6,210,April 9 1992,us,4,University of California
44,Dante Cunningham\cunnida01,SF,6/8,230,April 22 1987,us,8,Villanova University
8,Spencer Dinwiddie\dinwisp01,PG,6/6,200,April 6 1993,us,3,University of Colorado
14,Milton Doyle\doylemi01,SG,6/4,185,October 31 1993,us,R,Loyola University of Chicago
12,Joe Harris\harrijo01,SG,6/6,219,September 6 1991,us,3,University of Virginia
24,Rondae Hollis-Jefferson\holliro01,SF,6/7,220,January 3 1995,us,2,University of Arizona
6,Sean Kilpatrick\kilpase01,SG,6/4,210,January 6 1990,us,3,University of Cincinnati
22,Caris LeVert\leverca01,SF,6/7,203,August 25 1994,us,1,University of Michigan
7,Jeremy Lin\linje01,PG,6/3,200,August 23 1988,us,7,Harvard University
20,Timofey Mozgov\mozgoti01,C,7/1,275,July 16 1986,ru,7,
4,Jahlil Okafor\okafoja01,C,6/11,275,December 15 1995,us,2,Duke University
1,D'Angelo Russell\russeda01,PG,6/5,195,February 23 1996,us,2,Ohio State University
2,Nik Stauskas\stausni01,SG,6/6,205,October 7 1993,ca,3,University of Michigan
20,Rashad Vaughn\vaughra01,SG,6/6,202,August 16 1996,us,2,University of Nevada Las Vegas
0,James Webb\webbja01,SF,6/9,202,August 19 1993,us,R,Boise State University
15,Isaiah Whitehead\whiteis01,PG,6/4,213,March 8 1995,us,1,Seton Hall University
21,Jacob Wiley\wileyja01,PF,6/7,215,September 4 1994,us,R,Eastern Washington University
44,Tyler Zeller\zellety01,C,7/1,253,January 17 1990,us,5,University of North Carolina
8,Al-Farouq Aminu\aminual01,PF,6/9,220,September 21 1990,us,7,Wake Forest University
2,Wade Baldwin\baldwwa01,PG,6/4,202,March 29 1996,us,1,Vanderbilt University
33,Zach Collins\colliza01,C,7/1,232,November 19 1997,us,R,Gonzaga University
5,Pat Connaughton\connapa01,SG,6/5,206,January 6 1993,us,2,University of Notre Dame
17,Ed Davis\davised01,C,6/10,240,June 5 1989,us,7,University of North Carolina
4,Maurice Harkless\harklma01,SF,6/9,215,May 11 1993,us,5,St. John's University
10,Jake Layman\laymaja01,SF,6/9,210,March 7 1994,us,1,University of Maryland
11,Meyers Leonard\leoname01,C,7/1,245,February 27 1992,us,5,University of Illinois at Urbana-Champaign
0,Damian Lillard\lillada01,PG,6/3,195,July 15 1990,us,5,Weber State University
3,CJ McCollum\mccolcj01,SG,6/3,190,September 19 1991,us,4,Lehigh University
6,Shabazz Napier\napiesh01,PG,6/1,175,July 14 1991,us,3,University of Connecticut
27,Jusuf Nurkic\nurkiju01,C,7/1,280,August 23 1994,ba,3,
19,Georgios Papagiannis\papagge01,C,7/1,240,July 3 1997,gr,1,
50,Caleb Swanigan\swanica01,PF,6/8,250,April 18 1997,us,R,Purdue University
1,Evan Turner\turneev01,SF,6/7,220,October 27 1988,us,7,Ohio State University
21,Noah Vonleh\vonleno01,PF,6/10,240,August 24 1995,us,3,Indiana University
8,Alex Abrines\abrinal01,SG,6/6,190,August 1 1993,es,1,
12,Steven Adams\adamsst01,C,7/1,255,July 20 1993,nz,4,University of Pittsburgh
7,Carmelo Anthony\anthoca01,PF,6/8,240,May 29 1984,us,14,Syracuse University
3,Corey Brewer\breweco01,SG,6/9,186,March 5 1986,us,10,University of Florida
4,Nick Collison\collini01,PF,6/10,255,October 26 1980,us,13,University of Kansas
35,PJ Dozier\doziepj01,PG,6/7,201,October 25 1996,us,R,University of South Carolina
2,Raymond Felton\feltora01,PG,6/1,205,June 26 1984,us,12,University of North Carolina
23,Terrance Ferguson\fergute01,SG,6/7,184,May 17 1998,us,R,
13,Paul George\georgpa01,SF,6/9,220,May 2 1990,us,7,California State University Fresno
9,Jerami Grant\grantje01,PF,6/8,210,March 12 1994,us,3,Syracuse University
25,Daniel Hamilton\hamilda02,SG,6/7,195,August 8 1995,us,R,University of Connecticut
34,Josh Huestis\huestjo01,PF,6/7,230,December 19 1991,us,2,Stanford University
44,Dakari Johnson\johnsda04,C,7/1,255,September 22 1995,us,R,University of Kentucky
54,Patrick Patterson\pattepa01,PF,6/9,230,March 14 1989,us,7,University of Kentucky
21,Andre Roberson\roberan03,SG,6/7,210,December 4 1991,us,4,University of Colorado
15,Kyle Singler\singlky01,SF,6/8,228,May 4 1988,us,5,Duke University
0,Russell Westbrook\westbru01,PG,6/3,200,November 12 1988,us,9,University of California Los Angeles
13,Tony Bradley\bradlto01,C,6/11,240,January 8 1998,us,R,University of North Carolina
10,Alec Burks\burksal01,SG,6/6,214,July 20 1991,us,6,University of Colorado
99,Jae Crowder\crowdja01,SF,6/6,235,July 6 1990,us,5,Marquette University
11,Dante Exum\exumda01,PG,6/6,190,July 13 1995,au,2,
15,Derrick Favors\favorde01,C,6/10,265,July 15 1991,us,7,Georgia Institute of Technology
27,Rudy Gobert\goberru01,C,7/1,245,June 26 1992,fr,4,
5,Rodney Hood\hoodro01,SG,6/8,206,October 20 1992,us,3,Mississippi State University Duke University
2,Joe Ingles\inglejo01,SF,6/8,226,October 2 1987,au,3,
8,Jonas Jerebko\jerebjo01,PF,6/10,231,March 2 1987,se,7,
6,Joe Johnson\johnsjo02,SF,6/7,240,June 29 1981,us,16,University of Arkansas
21,Erik McCree\mccreer01,SF,6/8,225,December 20 1993,us,R,Louisiana Tech University
45,Donovan Mitchell\mitchdo01,SG,6/3,211,September 7 1996,us,R,University of Louisville
30,Naz Mitrou-Long\mitrona01,SG,6/4,209,August 3 1993,ca,R,Iowa State University
25,Raul Neto\netora01,PG,6/1,179,May 19 1992,br,2,
31,Georges Niang\niangge01,PF,6/8,230,June 17 1993,us,1,Iowa State University
23,Royce O'Neale\onealro01,SF,6/6,215,June 5 1993,us,R,Baylor University
3,Ricky Rubio\rubiori01,PG,6/4,194,October 21 1990,es,6,
22,Thabo Sefolosha\sefolth01,SF,6/7,220,May 2 1984,ch,11,
5,David Stockton\stockda01,PG,5/11,165,June 24 1991,us,1,Gonzaga University
33,Ekpe Udoh\udohek01,C,6/10,240,May 20 1987,us,5,University of Michigan Baylor University
16,Nate Wolters\woltena01,PG,6/4,190,May 15 1991,us,2,South Dakota State University
45,Cole Aldrich\aldrico01,C,6/11,250,October 31 1988,us,7,University of Kansas
8,Nemanja Bjelica\bjeline01,PF,6/10,240,May 9 1988,rs,2,
30,Aaron Brooks\brookaa01,PG,6/1,161,January 14 1985,us,9,University of Oregon
3,Anthony Brown\brownan02,SF,6/7,210,October 10 1992,us,2,Stanford University
23,Jimmy Butler\butleji01,SG,6/8,236,September 14 1989,us,6,Marquette University
11,Jamal Crawford\crawfja01,SG,6/5,200,March 20 1980,us,17,University of Michigan
5,Gorgui Dieng\dienggo01,C,6/11,241,January 18 1990,sn,4,University of Louisville
13,Marcus Georges-Hunt\georgma01,SG,6/5,216,March 28 1994,us,1,Georgia Institute of Technology
67,Taj Gibson\gibsota01,PF,6/9,225,June 24 1985,us,8,University of Southern California
1,Tyus Jones\jonesty01,PG,6/2,195,May 10 1996,us,2,Duke University
15,Shabazz Muhammad\muhamsh01,SF,6/6,223,November 13 1992,us,4,University of California Los Angeles
24,Justin Patton\pattoju01,C,6/11,229,June 14 1997,us,R,Creighton University
25,Derrick Rose\rosede01,PG,6/3,190,October 4 1988,us,8,University of Memphis
0,Jeff Teague\teaguje01,PG,6/2,186,June 10 1988,us,8,Wake Forest University
32,Karl-Anthony Towns\townska01,C,7/1,244,November 15 1995,us,2,University of Kentucky
22,Andrew Wiggins\wiggian01,SF,6/8,199,February 23 1995,ca,3,University of Kansas
0,Darrell Arthur\arthuda01,PF,6/9,235,March 25 1988,us,8,University of Kansas
5,Will Barton\bartowi01,SG,6/6,175,January 6 1991,us,5,University of Memphis
25,Malik Beasley\beaslma01,SG,6/5,196,November 26 1996,us,1,Florida State University
21,Wilson Chandler\chandwi01,SF,6/8,225,May 10 1987,us,9,DePaul University
3,Torrey Craig\craigto01,SF,6/6,215,December 19 1990,us,R,University of South Carolina Upstate
35,Kenneth Faried\farieke01,PF,6/8,228,November 19 1989,us,6,Morehead State University
34,Devin Harris\harride01,PG,6/3,192,February 27 1983,us,13,University of Wisconsin
14,Gary Harris\harriga01,SG,6/4,210,September 14 1994,us,3,Michigan State University
41,Juan Hernangomez\hernaju01,PF,6/9,230,September 28 1995,es,1,
22,Richard Jefferson\jefferi01,SF,6/7,233,June 21 1980,us,16,University of Arizona
15,Nikola Jokic\jokicni01,C,6/10,250,February 19 1995,rs,2,
20,Tyler Lydon\lydonty01,PF,6/10,215,April 9 1996,us,R,Syracuse University
7,Trey Lyles\lylestr01,PF,6/10,234,November 5 1995,ca,2,University of Kentucky
4,Paul Millsap\millspa01,PF,6/8,246,February 10 1985,us,11,Louisiana Tech University
11,Monte Morris\morrimo01,PG,6/3,175,June 27 1995,us,R,Iowa State University
0,Emmanuel Mudiay\mudiaem01,PG,6/5,200,March 5 1996,cd,2,
27,Jamal Murray\murraja01,PG,6/4,207,February 23 1997,ca,1,University of Kentucky
24,Mason Plumlee\plumlma01,C,6/11,245,March 5 1990,us,4,Duke University
81,Jose Calderon\caldejo01,PG,6/3,200,September 28 1981,es,12,
8,Jordan Clarkson\clarkjo01,SG,6/5,194,June 7 1992,us,3,University of Tulsa University of Missouri
99,Jae Crowder\crowdja01,SF,6/6,235,July 6 1990,us,5,Marquette University
8,Channing Frye\fryech01,C,6/11,255,May 17 1983,us,11,University of Arizona
32,Jeff Green\greenje02,PF,6/9,235,August 28 1986,us,9,Georgetown University
3,George Hill\hillge01,PG,6/3,188,May 4 1986,us,9,Indiana University-Purdue University Indianapolis
10,John Holland\hollajo02,SF,6/5,205,November 6 1988,us,R,Boston University
1,Rodney Hood\hoodro01,SG,6/8,206,October 20 1992,us,3,Mississippi State University Duke University
