Player,FG36,FGA36,threesMade36,threesAttempted36,twosMade36,twosAttempted36,FT36,FTA36,ORB36,DRB36,TRB36,AST36,STL36,BLK36,TOV36,PF36,PTS36
Josh Huestis\huestjo01,7,12.8,2.3,4.6,4.6,8.1,0,1.2,4.6,5.8,10.5,3.5,0,3.5,0,0,16.3
Kris Humphries\humphkr01,4.5,11.2,1,2.8,3.6,8.4,3.3,4.3,3.1,7.6,10.8,1.5,0.8,1.1,1.5,3.6,13.4
R.J. Hunter\hunterj01,0,4,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0
Serge Ibaka\ibakase01,7,14.6,1.8,4.7,5.2,9.9,1.6,1.9,1.9,6.1,8,1.1,0.6,1.8,1.6,3.2,17.4
Andre Iguodala\iguodan01,3.9,7.5,1.2,3.2,2.8,4.3,1.3,1.8,0.9,4.6,5.5,4.7,1.4,0.7,1,1.7,10.3
Ersan Ilyasova\ilyaser01,6.5,15,2.4,6.8,4.1,8.2,2.7,3.5,1.9,6.2,8.1,2.4,1,0.4,1.9,3.5,18
Joe Ingles\inglejo01,3.7,8.2,2.2,5.1,1.5,3.1,0.9,1.2,0.4,4.3,4.8,4.1,1.8,0.1,2,3,10.6
Brandon Ingram\ingrabr01,4.4,10.8,0.9,3,3.5,7.9,2.1,3.4,0.9,4,5,2.6,0.8,0.6,1.8,2.5,11.7
Kyrie Irving\irvinky01,9.6,20.2,2.5,6.3,7,14,4.2,4.7,0.7,2.5,3.3,6,1.2,0.3,2.6,2.2,25.9
Jarrett Jack\jackja01,2.2,3.3,0,1.1,2.2,2.2,2.2,2.2,0,0,0,5.5,2.2,0,3.3,4.4,6.5
Demetrius Jackson\jacksde01,6.4,8.5,2.1,2.1,4.2,6.4,6.4,12.7,4.2,4.2,8.5,6.4,0,0,0,0,21.2
Pierre Jackson\jackspi01,5.6,16.7,1.3,4.7,4.3,12,2.6,3,0.4,3.4,3.9,8.1,0.9,0,1.3,2.1,15
Reggie Jackson\jacksre01,7.2,17.1,1.7,4.7,5.5,12.5,3,3.4,0.5,2.4,2.9,6.8,0.9,0.1,2.9,3.3,19
LeBron James\jamesle01,9.5,17.3,1.6,4.4,7.9,12.9,4.6,6.8,1.2,7,8.2,8.3,1.2,0.6,3.9,1.7,25.2
Al Jefferson\jeffeal01,9.1,18.2,0,0,9.1,18.2,2.5,3.3,2.9,7.8,10.7,2.2,0.7,0.6,1.3,4.8,20.7
Richard Jefferson\jefferi01,3.4,7.7,1.4,4.1,2,3.5,1.8,2.4,0.6,3.9,4.5,1.7,0.6,0.2,1.2,3.4,10
