Player,FG36,FGA36,threesMade36,threesAttempted36,twosMade36,twosAttempted36,FT36,FTA36,ORB36,DRB36,TRB36,AST36,STL36,BLK36,TOV36,PF36,PTS36
Dirk Nowitzki\nowitdi01,7.5,17.1,2,5.3,5.5,11.9,2.5,2.8,0.6,8.3,8.9,2.1,0.8,1,1.3,2.9,19.4
Jusuf Nurkic\nurkiju01,7,13.8,0,0,7,13.8,3.1,5.4,4,8.1,12.1,3.2,1.3,1.9,3.7,4.2,17.1
David Nwaba\nwabada01,4.3,7.3,0.1,0.5,4.2,6.9,2.3,3.5,1.5,4.2,5.7,1.3,1.2,0.6,1,3.3,10.9
Johnny O'Bryant\obryajo01,6.8,13.5,1.4,2.7,5.4,10.8,2.3,2.7,4.1,4.5,8.6,2.7,0,0.5,2.7,4.5,17.1
Kyle O'Quinn\oquinky01,6.3,12.1,0.1,0.5,6.2,11.6,1.9,2.4,4.6,8.3,12.9,3.4,1.1,3,2.2,5.1,14.5
Daniel Ochefu\ochefda01,5.8,13,0,0,5.8,13,0,1,2.4,8.2,10.6,1.4,1,0,1.4,8.2,11.5
Jahlil Okafor\okafoja01,7.7,15,0,0,7.7,15,3.4,5,2.6,5,7.6,1.8,0.6,1.6,2.9,3.9,18.7
Victor Oladipo\oladivi01,6.7,15.1,2.1,5.7,4.6,9.4,1.9,2.5,0.6,4.1,4.7,2.9,1.3,0.3,1.9,2.5,17.3
Kelly Olynyk\olynyke01,6.1,11.9,1.6,4.5,4.5,7.4,2.1,2.9,1.7,6.7,8.4,3.5,1,0.7,2.2,4.8,15.9
Arinze Onuaku\onuakar01,2.6,5.1,0,0,2.6,5.1,0,0,2.6,5.1,7.7,2.6,0,1.3,2.6,3.9,5.1
Chinanu Onuaku\onuakch01,3.5,4.8,0,0,3.5,4.8,2.8,2.8,1.4,5.5,6.9,2.1,2.1,0.7,2.8,4.2,9.7
Kelly Oubre\oubreke01,4.2,9.9,1.2,4.2,3,5.7,1.7,2.2,1.4,4.5,5.9,1.1,1.3,0.4,1.1,4.4,11.2
Zaza Pachulia\pachuza01,4.7,8.7,0,0.1,4.7,8.7,2.8,3.6,4,7.7,11.6,3.7,1.7,0.9,2.5,4.7,12.1
Georgios Papagiannis\papagge01,5.7,10.3,0,0.2,5.7,10.1,1.2,1.4,2.4,6.3,8.7,2,0.3,1.7,2.4,4.5,12.6
Jabari Parker\parkeja01,8.3,17,1.4,3.7,7,13.2,3.4,4.5,1.6,4.9,6.5,3,1,0.5,1.9,2.3,21.4
Tony Parker\parketo01,6,12.9,0.5,1.6,5.5,11.3,1.9,2.7,0.2,2.4,2.6,6.5,0.8,0,2,2.1,14.5
Chandler Parsons\parsoch01,4,11.8,1.3,5,2.7,6.9,1.9,2.3,0.3,4.2,4.5,2.9,1.1,0.3,1.3,2.8,11.2
Lamar Patterson\pattela01,2.7,13.5,0.9,5.4,1.8,8.1,1.8,2.7,0.9,5.4,6.3,5.4,0.9,0,3.6,5.4,8.1
Patrick Patterson\pattepa01,3.5,8.6,2.1,5.7,1.4,2.9,1,1.4,1.4,5.2,6.6,1.7,0.9,0.5,0.9,2.7,10
Chris Paul\paulch01,7,14.7,2.3,5.7,4.7,9.1,4.3,4.9,0.7,4.9,5.7,10.6,2.2,0.1,2.8,2.7,20.7
Adreian Payne\paynead01,6.1,14.4,0.8,4,5.3,10.4,3.7,5.1,2.4,6.4,8.8,1.9,2.1,1.9,2.1,8.5,16.8
Cameron Payne\payneca01,5,15,2.1,6.7,2.9,8.3,0.4,0.6,0.2,3.5,3.7,4.3,1.1,0.3,2.3,4.1,12.5
Elfrid Payton\paytoel01,6.4,13.6,0.6,2.2,5.8,11.4,2.2,3.1,1.3,4.4,5.8,7.9,1.3,0.6,2.7,2.6,15.6
Gary Payton\paytoga02,2.9,8,0.4,3.3,2.5,4.7,1.1,1.8,0,4.4,4.4,4.7,1.1,1.5,3.6,3.3,7.3
Paul Pierce\piercpa01,3.6,9.1,1.9,5.6,1.7,3.5,1.3,1.7,0.1,6.1,6.2,1.3,0.5,0.6,2.1,5.2,10.5
Marshall Plumlee\plumlma02,3.4,6.4,0,0,3.4,6.4,1.7,4,4.9,5.9,10.8,2.1,0.8,0.8,2.5,4.9,8.5
Mason Plumlee\plumlma01,5.6,10.4,0,0.1,5.6,10.3,2.9,5,2.8,7.3,10.1,4.8,1.2,1.5,2.2,3.8,14.1
Miles Plumlee\plumlmi01,3.3,6.8,0,0,3.3,6.8,1.9,2.9,2.8,4.2,7.1,1.6,1.3,1,2.2,5.4,8.4
Jakob Poeltl\poeltja01,3.9,6.6,0,0,3.9,6.6,1.8,3.3,4.5,5,9.5,0.7,1,1.2,1.7,6.5,9.5
Otto Porter\porteot01,5.7,11.1,2,4.7,3.7,6.4,1.4,1.6,1.6,5.5,7.1,1.7,1.6,0.6,0.6,2.7,14.9
Bobby Portis\portibo01,6.6,13.5,1.2,3.5,5.4,10,1.4,2.1,2.7,8,10.7,1.3,0.6,0.4,1.3,3.4,15.7
Kristaps Porzingis\porzikr01,7.4,16.4,1.9,5.2,5.5,11.2,3.3,4.2,1.8,6.1,7.9,1.6,0.8,2.1,2,4.1,19.9
Dwight Powell\poweldw01,5.2,10.2,0.6,2,4.7,8.2,2.9,3.8,2.5,5.8,8.3,1.3,1.6,1.1,0.9,3.6,13.9
Norman Powell\powelno01,6,13.3,1.5,4.6,4.5,8.8,3.3,4.2,0.7,3.8,4.4,2.2,1.4,0.4,1.8,3.3,16.7
Alex Poythress\poythal01,5.7,12.4,1.4,4.4,4.4,8,1.8,2.3,2.5,4.1,6.6,1.1,0.7,0.5,0.7,3.2,14.7
Ronnie Price\pricero01,1.1,6.4,0.8,4.6,0.3,1.9,0.8,1.1,0.8,2.1,3,4.8,3,0.3,0.8,3.8,3.8
Tim Quarterman\quartti01,5.9,13.1,2.3,5.9,3.6,7.2,0,1.4,1.8,4.5,6.3,5,0.9,1.4,5,2.7,14
Chasson Randle\randlch01,4.8,11.8,1.9,5.7,2.9,6.1,4.9,5.2,0.7,3.1,3.9,4.1,1.1,0.2,2.3,4.7,16.5
Julius Randle\randlju01,6.4,13.1,0.3,1.1,6.1,12,3.4,4.8,2.5,8.2,10.7,4.5,0.8,0.6,2.9,4.2,16.5
Zach Randolph\randoza01,8.7,19.4,0.4,1.9,8.3,17.5,2.8,3.9,3.7,8.4,12.1,2.5,0.8,0.2,2,2.7,20.7
J.J. Redick\redicjj01,6.5,14.6,3.3,7.7,3.2,6.9,2.9,3.3,0.2,2.6,2.8,1.8,0.9,0.2,1.6,2,19.2
Willie Reed\reedwi02,5.7,10,0,0.1,5.6,9.8,1.7,3.1,4.5,7.1,11.6,0.9,0.6,1.6,1.1,4.8,13.1
Josh Richardson\richajo01,4.5,11.4,1.7,5.1,2.8,6.4,1.3,1.7,0.8,3,3.7,3.1,1.3,0.9,1.4,2.9,12
Malachi Richardson\richama01,5.1,12.4,1.5,5.1,3.6,7.3,2.7,3.5,0.5,3.6,4.2,2,0.9,0.2,1.5,4.2,14.4
Austin Rivers\riverau01,5.7,12.8,1.9,5.2,3.7,7.6,2.3,3.3,0.4,2.5,2.8,3.6,0.8,0.2,2,3.3,15.6
Andre Roberson\roberan03,3.3,7,0.7,2.8,2.6,4.2,0.7,1.7,1.5,4.6,6.1,1.2,1.4,1.2,0.8,3.1,7.9
Brian Roberts\roberbr01,4,10.6,1.5,3.8,2.5,6.8,2.9,3.4,0.4,2.9,3.4,4.5,0.8,0.1,2.3,1.6,12.3
Glenn Robinson\robingl02,4,8.5,1.2,3.2,2.7,5.4,1.4,1.9,1.4,4.8,6.2,1.2,1,0.5,0.9,1.6,10.6
Thomas Robinson\robinth01,6.8,12.6,0,0.1,6.8,12.5,2,4.2,5.4,8.9,14.3,2,1.7,0.6,3,4.9,15.5
Sergio Rodriguez\rodrise01,5,12.7,2.2,6,2.8,6.7,0.4,0.6,0.5,3.2,3.7,8.2,1.2,0.1,3,2.3,12.6
Rajon Rondo\rondora01,4.5,11,1,2.6,3.5,8.4,0.6,1,1.4,5.5,6.9,9,1.9,0.2,3.3,2.8,10.5
Derrick Rose\rosede01,8,16.9,0.2,1,7.7,15.9,3.8,4.4,1.1,3.1,4.3,4.9,0.8,0.3,2.5,1.5,20
Terrence Ross\rosste01,6,13.7,2.6,7.2,3.4,6.5,1.2,1.4,0.3,3.5,3.8,1.6,1.6,0.6,1.3,2.6,15.8
Terry Rozier\roziete01,4.3,11.7,1.6,5.1,2.7,6.6,1.5,1.9,1.1,5.3,6.5,3.7,1.3,0.3,1.3,2,11.7
Ricky Rubio\rubiori01,3.8,9.5,0.9,2.9,2.9,6.6,3.7,4.2,1,3.5,4.4,9.9,1.9,0.1,2.8,2.9,12.2
Damjan Rudez\rudezda01,3.6,10.1,2.3,7.3,1.3,2.8,0,0,0.6,2.3,2.9,2.3,1.4,0.1,1,3.6,9.4
Brandon Rush\rushbr01,2.4,6.5,1.5,4,0.9,2.6,0.5,0.6,0.6,2.9,3.5,1.6,0.8,0.8,1,1.5,6.9
D'Angelo Russell\russeda01,7,17.2,2.7,7.6,4.3,9.6,2.9,3.7,0.6,3.8,4.4,6,1.7,0.3,3.5,2.6,19.6
Domantas Sabonis\sabondo01,4.2,10.6,1.1,3.5,3.1,7.1,1,1.5,1,5.3,6.4,1.8,0.9,0.7,1.8,4.4,10.6
Larry Sanders\sandela01,2.8,11.1,0,0,2.8,11.1,5.5,5.5,8.3,2.8,11.1,0,2.8,2.8,5.5,13.8,11.1
Dario Saric\saricda01,6.4,15.7,1.8,5.8,4.7,9.9,2.9,3.7,1.9,6.8,8.7,3.1,1,0.5,3.1,2.7,17.6
Tomas Satoransky\satorto01,3.1,7.4,0.5,1.9,2.6,5.5,1.2,1.7,1.3,2.9,4.2,4.6,1.3,0.3,1.9,3,7.7
Dennis Schroder\schrode01,7.9,17.6,1.4,4.3,6.5,13.3,3.2,3.7,0.6,3,3.6,7.2,1.1,0.2,3.7,2.2,20.5
Luis Scola\scolalu01,5.5,11.8,1.3,3.9,4.2,7.9,2,2.9,4,6.9,10.9,2.9,1.1,0.3,2.7,4.9,14.4
Mike Scott\scottmi01,3.1,10.9,0.7,5,2.4,5.9,1.3,1.5,1.8,5,6.8,3.1,0.7,0.6,1.5,2.2,8.3
Thabo Sefolosha\sefolth01,3.9,8.9,0.9,2.7,3,6.2,1.2,1.7,1.2,4.9,6.1,2.4,2.2,0.7,1.3,2.2,10
Wayne Selden\seldewa01,3.8,8.8,1.1,4.3,2.7,4.6,2.1,3.4,0.2,2.3,2.4,2,0.9,0.2,1.8,2.7,10.8
Kevin Seraphin\serapke01,7,12.8,0,0.1,7,12.6,0.9,1.4,2.6,6.5,9.1,1.5,0.5,1.3,1.9,4.3,14.9
Ramon Sessions\sessira01,4.4,11.7,0.9,2.8,3.5,8.9,4,5.2,0.5,2.8,3.2,5.7,1.2,0.1,2,1.9,13.8
Iman Shumpert\shumpim01,3.7,9.1,1.7,4.9,2,4.2,1.3,1.7,0.7,3.3,4.1,2,1.2,0.5,1.4,2.8,10.5
Pascal Siakam\siakapa01,4.3,8.6,0,0.3,4.3,8.3,0.9,1.3,2.7,5.1,7.8,0.7,1.1,1.9,1.4,4.6,9.6
Jonathon Simmons\simmojo02,4.6,10.9,0.8,2.6,3.8,8.2,2.6,3.4,0.5,3.6,4.1,3.3,1.2,0.6,2,3.8,12.5
Kyle Singler\singlky01,3.2,7.8,0.7,3.5,2.5,4.3,1.2,1.6,0.7,3.7,4.5,0.8,0.7,0.5,1,2.7,8.2
Marcus Smart\smartma01,4,11.2,1.4,5,2.6,6.3,3,3.8,1.2,3.4,4.6,5.5,1.9,0.5,2.4,2.9,12.5
Ish Smith\smithis01,6.1,13.8,0.5,1.9,5.5,11.9,1.3,1.9,0.4,3.9,4.3,7.7,1.1,0.6,2.1,2.3,14
J.R. Smith\smithjr01,3.7,10.8,2.9,8.2,0.8,2.6,0.3,0.5,0.5,2.9,3.4,1.9,1.2,0.3,0.8,2.3,10.6
Jason Smith\smithja02,5.9,11.1,1.2,2.6,4.6,8.5,1.2,1.7,2.2,6.5,8.7,1.2,0.7,1.8,2,5.7,14.2
Tony Snell\snellto01,3.8,8.3,2.2,5.5,1.6,2.9,0.7,0.9,0.3,3.5,3.8,1.5,0.8,0.2,0.8,1.9,10.5
Marreese Speights\speigma01,6.8,15.3,2.9,7.8,3.9,7.6,3.4,3.8,2.5,8,10.4,1.8,0.6,1.1,1.9,6.4,19.9
Tiago Splitter\splitti01,6.6,14.7,0.9,2.8,5.7,11.8,4.3,5.2,3.8,6.6,10.4,1.9,0.5,0.5,2.8,3.8,18.5
Nik Stauskas\stausni01,4.1,10.4,2.2,5.9,2,4.5,2,2.5,0.3,3.4,3.7,3.1,0.7,0.5,2.1,2.4,12.4
Lance Stephenson\stephla01,5.4,12,0.6,2,4.8,10,0.8,1.3,0.4,4.8,5.2,5.9,0.5,0.3,2.6,3.2,12.2
Jarnell Stokes\stokeja01,5.1,5.1,0,0,5.1,5.1,5.1,10.3,5.1,5.1,10.3,10.3,5.1,0,0,15.4,15.4
Diamond Stone\stonedi01,4.5,19.5,0,0,4.5,19.5,6,6,1.5,7.5,9,0,0,1.5,3,7.5,15
Rodney Stuckey\stuckro01,4.7,12.6,1,3.1,3.7,9.5,4.1,5.5,0.3,4,4.3,4.3,0.8,0,2.7,2.3,14.5
Jared Sullinger\sullija01,4.6,14.3,0.9,5.5,3.7,8.8,1.2,2.4,3.1,5.2,8.2,0.9,1.2,0.3,1.2,5.2,11.3
Edy Tavares\tavarwa01,5.1,6.4,0,0,5.1,6.4,0,3.9,5.1,9,14.1,1.3,0,7.7,2.6,3.9,10.3
Isaiah Taylor\taylois01,0.7,4.8,0,1.4,0.7,3.5,0.7,1.4,0.7,1.4,2.1,2.1,0.7,0.7,0,4.2,2.1
Jeff Teague\teaguje01,5.4,12.3,1.2,3.4,4.2,8.9,4.9,5.6,0.4,4,4.5,8.7,1.4,0.4,2.9,2.2,17
Mirza Teletovic\teletmi01,5,13.3,3.3,9.7,1.7,3.6,1.1,1.4,0.3,4.8,5.1,1.5,0.4,0.4,1.2,3.5,14.3
Garrett Temple\templga01,3.8,9,1.7,4.6,2.1,4.4,1.2,1.5,0.7,3.2,3.8,3.5,1.7,0.6,1.6,2.9,10.5
Jason Terry\terryja01,2.8,6.4,1.9,4.5,0.8,1.9,0.6,0.8,0.4,2.4,2.8,2.6,1.2,0.5,0.9,2.5,8.1
Isaiah Thomas\thomais02,9.6,20.6,3.4,9.1,6.1,11.6,8.3,9.1,0.6,2.3,2.9,6.3,1,0.2,2.9,2.3,30.8
Lance Thomas\thomala01,3.6,9.1,1.4,3.2,2.2,5.9,1.6,1.9,1.2,4.1,5.3,1.3,0.8,0.2,0.9,3.2,10.2
Hollis Thompson\thompho01,3.7,9.6,1.5,4.5,2.2,5,0.9,1.4,0.9,4.5,5.4,1.7,1,0.3,0.5,3.3,9.8
Klay Thompson\thompkl01,8.8,18.7,3.6,8.8,5.1,9.9,2.5,3,0.7,3.2,3.9,2.2,0.9,0.5,1.7,1.9,23.7
Tristan Thompson\thomptr01,4,6.7,0,0,4,6.7,1.6,3.3,4.4,6.6,11,1.2,0.6,1.3,1,2.7,9.7
Marcus Thornton\thornma01,5.3,13.1,1.8,5,3.5,8.1,1.4,1.7,1.4,3.4,4.8,2.6,1.2,0.2,1.6,3,13.7
Mike Tobey\tobeymi01,1.4,5.8,0,0,1.4,5.8,0,0,2.9,1.4,4.3,1.4,0,0,1.4,2.9,2.9
Anthony Tolliver\tollian01,3.8,8.6,2.2,5.6,1.6,2.9,1.5,2,1.2,4.5,5.8,1.9,0.8,0.5,1.4,2.7,11.2
Axel Toupane\toupaax01,3.8,6.9,0.8,3.1,3.1,3.8,0,0,0,0.8,0.8,0,0.8,0.8,0,4.6,8.4
Karl-Anthony Towns\townska01,9.5,17.6,1.2,3.3,8.3,14.3,4.2,5.1,3.5,8.4,12,2.6,0.7,1.2,2.5,2.9,24.5
P.J. Tucker\tuckepj01,3.2,7.8,1.1,3.2,2.1,4.6,1.2,1.5,1.9,5.7,7.6,1.6,1.9,0.3,1.1,3.2,8.7
Evan Turner\turneev01,5.1,12,0.7,2.6,4.4,9.4,1.8,2.2,0.8,4.6,5.4,4.5,1.2,0.5,2.2,2.6,12.7
Myles Turner\turnemy01,6.3,12.3,0.6,1.6,5.7,10.7,3.5,4.3,2,6.4,8.3,1.5,1,2.4,1.5,3.7,16.6
Beno Udrih\udrihbe01,5.9,12.7,0.7,2.1,5.2,10.6,2.1,2.2,0.4,3.3,3.7,8.4,0.8,0,2.3,1.9,14.6
Tyler Ulis\ulisty01,5.9,14,0.7,2.5,5.2,11.5,1.8,2.3,0.6,2.4,3,7.2,1.5,0.2,2.5,2.3,14.2
Jarrod Uthoff\uthofja01,5,11.9,0.9,2.8,4.1,9.1,1.6,2.2,2.5,4.4,6.9,2.8,0.6,1.3,0.9,2.5,12.5
Jonas Valanciunas\valanjo01,6.8,12.2,0,0,6.8,12.2,3.1,3.8,3.9,9.3,13.2,1,0.6,1.1,1.8,3.8,16.7
Denzel Valentine\valende01,3.8,10.6,2.7,7.7,1.1,3,0.5,0.7,0.4,5.2,5.6,2.3,1.1,0.3,1.8,3.2,10.7
Fred VanVleet\vanvlfr01,4.8,13.6,1.3,3.6,3.4,10,2.2,2.7,0.5,4.7,5.1,4.3,2,0.4,1.8,4.4,13.1
Anderson Varejao\varejan01,2,5.5,0,0,2,5.5,3.1,4.3,4.7,5.9,10.6,3.9,1.2,1.2,3.1,6.3,7
Greivis Vasquez\vasqugr01,1.8,7.4,0.9,2.8,0.9,4.6,1.8,2.8,0,1.8,1.8,4.6,0.9,0.9,0.9,5.5,6.5
Rashad Vaughn\vaughra01,4.5,12.3,2,6.4,2.4,5.9,0.2,0.4,0.3,3.5,3.9,1.8,1.5,0.8,1.1,2.5,11.2
Noah Vonleh\vonleno01,3.7,7.7,0.2,0.6,3.5,7.1,1.7,2.7,3.7,7.3,11,0.9,0.9,0.8,1.8,4.4,9.3
Nikola Vucevic\vucevni01,8,17.2,0.4,1.2,7.7,15.9,1.8,2.7,2.9,10,13,3.5,1.3,1.2,1.9,3,18.2
Sasha Vujacic\vujacsa01,3.7,12,2,6.5,1.7,5.5,1.5,2.1,1.1,4.1,5.2,4.6,1.1,0.2,1.4,3.4,10.9
Dwyane Wade\wadedw01,8.3,19.2,0.9,2.9,7.4,16.3,4.5,5.6,1.3,4.2,5.4,4.6,1.7,0.8,2.8,2.3,22
Dion Waiters\waitedi01,7.3,17.2,2.2,5.6,5.1,11.7,2.1,3.3,0.5,3.5,4,5.2,1.1,0.5,2.7,2.5,19
Kemba Walker\walkeke02,8.5,19,3.2,7.9,5.3,11.1,4,4.7,0.6,3.5,4,5.7,1.1,0.3,2.2,1.6,24.1
John Wall\walljo01,8.2,18.2,1.1,3.5,7.1,14.8,5.4,6.7,0.7,3.4,4.1,10.5,2,0.6,4.1,1.9,22.9
Taurean Waller-Prince\princta02,4.2,10.5,1.2,3.7,3,6.7,2.7,3.4,0.9,4.8,5.8,2,1.6,1,2.2,3.5,12.3
T.J. Warren\warretj01,7.1,14.3,0.5,1.7,6.6,12.6,2.1,2.7,2.2,3.8,6,1.3,1.3,0.7,1,3.1,16.7
C.J. Watson\watsocj01,3.4,8.8,1.1,3.7,2.3,5.1,2,2.3,0.6,2.6,3.2,4.1,1.5,0.1,1.7,3,10
Briante Weber\weberbr01,4.4,10.5,0.2,1.8,4.2,8.8,1.9,2.8,1.4,3.2,4.6,3.7,2.1,0.2,1.4,2.8,10.9
David West\westda01,5.7,10.6,0.1,0.3,5.6,10.3,1.8,2.4,2,6.6,8.6,6.4,1.8,2,3.3,4.4,13.3
Russell Westbrook\westbru01,10.6,24.9,2.6,7.5,8,17.4,9.1,10.8,1.8,9.3,11.1,10.8,1.7,0.4,5.6,2.4,32.9
Okaro White\whiteok01,2.5,6.6,0.9,2.6,1.6,4.1,1.5,1.7,1.9,4.4,6.3,1.6,0.8,0.8,1.4,4,7.5
Isaiah Whitehead\whiteis01,4.5,11.1,1,3.3,3.5,7.9,2,2.5,0.7,3.3,4,4.2,0.9,0.8,3.1,3.8,11.9
Hassan Whiteside\whiteha01,7.8,13.9,0,0,7.8,13.9,3.2,5.1,4.2,11.4,15.6,0.8,0.8,2.3,2.2,3.2,18.8
Andrew Wiggins\wiggian01,8.4,18.5,1.2,3.4,7.2,15.1,4.9,6.4,1.2,2.7,3.9,2.2,1,0.4,2.2,2.2,22.8
C.J. Wilcox\wilcocj01,2.7,10.3,1,5,1.7,5.3,0.7,0.7,1.3,2.7,4,4,0.7,0.3,2,2.7,7
Alan Williams\willial03,7,13.6,0,0.1,7,13.5,3.6,5.7,4.8,10.1,14.8,1.2,1.4,1.6,1.9,6.4,17.6
Deron Williams\willide01,5.7,13,1.8,5.1,3.9,8,2,2.4,0.3,2.9,3.2,7.8,0.7,0.2,3,3,15.2
Derrick Williams\willide02,4.8,10.9,1.3,4.3,3.5,6.6,2.6,4,0.9,5,5.8,1.3,0.6,0.3,1.3,2.7,13.6
Lou Williams\willilo02,7.7,18,2.9,8.1,4.8,10,7.3,8.3,0.5,3.2,3.6,4.3,1.4,0.4,2.9,1.7,25.7
Marvin Williams\willima02,4.7,11,1.9,5.6,2.7,5.5,2.1,2.4,1.4,6.4,7.8,1.7,0.9,0.8,0.9,2.1,13.3
Reggie Williams\willire02,3.6,10.5,2.3,5,1.4,5.5,2.7,3.2,0.9,1.8,2.7,1.8,1.4,0,0,0.9,12.3
Troy Williams\willitr02,4.7,10.8,1.2,4,3.6,6.8,1.4,2.1,1,3.5,4.5,1.6,1.7,0.6,2.1,3.9,12
Kyle Wiltjer\wiltjky01,3.3,11.5,3.3,10.6,0,0.8,0.8,1.6,3.3,4.9,8.2,1.6,2.5,0.8,4.1,3.3,10.6
Justise Winslow\winslju01,4.6,13,0.4,2,4.2,10.9,1.7,2.7,1.3,4.1,5.4,3.8,1.5,0.3,1.9,3,11.3
Jeff Withey\witheje01,4.6,8.6,0,0.1,4.6,8.5,3,4,4.3,5.7,10.1,0.6,1.3,2.7,1.2,4.3,12.2
Christian Wood\woodch01,4,7.7,0,1.7,4,6.1,3.7,5,4.7,5,9.8,0.7,1,2,2.4,3.7,11.8
Metta World Peace\artesro01,4.3,15.3,2,8.6,2.3,6.8,2.3,3.6,1.1,3.4,4.5,2.5,2.3,0.5,1.6,4.1,12.8
Brandan Wright\wrighbr03,6.7,10.9,0,0.1,6.7,10.8,1.9,2.8,2.5,3.8,6.3,1.2,0.9,1.6,0.8,3.4,15.2
Delon Wright\wrighde01,4,9.4,0.8,2.4,3.1,6.9,3.4,4.4,1.3,2.6,3.9,4.6,2.2,0.9,2,2.5,12.1
James Young\youngja01,4.1,9.5,2,5.7,2.1,3.8,1,1.5,1,3.3,4.3,0.7,1.6,0.3,0.7,2.5,11.1
Joe Young\youngjo01,6.9,19.2,1.3,6.1,5.6,13.1,2.9,4,0.3,4.3,4.5,4,1.1,0,1.3,1.3,18.1
Nick Young\youngni01,6.3,14.6,3.9,9.7,2.4,4.9,1.8,2.1,0.6,2.6,3.2,1.3,0.9,0.3,0.8,3.2,18.3
Thaddeus Young\youngth01,5.8,11.1,0.7,1.9,5.1,9.2,0.7,1.4,2.1,5.1,7.2,2,1.8,0.5,1.5,2.2,13.1
Cody Zeller\zelleco01,5.3,9.2,0,0,5.3,9.2,2.8,4.1,2.8,5.6,8.5,2.1,1.3,1.2,1.4,3.9,13.3
Tyler Zeller\zellety01,5.3,10.8,0,0.1,5.3,10.8,1.5,2.7,2.9,5.6,8.5,2.9,0.5,1.4,1.4,4.2,12.2
Stephen Zimmerman\zimmest01,3.3,10.3,0,0,3.3,10.3,1,1.7,3.7,8,11.7,1.3,0.7,1.7,1,5.7,7.7
Paul Zipser\zipsepa01,3.8,9.4,1.4,4.2,2.3,5.2,1.3,1.7,0.6,4.7,5.3,1.5,0.6,0.7,1.7,3.3,10.2
Ivica Zubac\zubaciv01,7.4,14.1,0,0.2,7.4,13.9,1.9,2.9,2.4,7,9.4,1.8,0.8,2,1.8,3.9,16.8
